Leôncio leôncio NP00SP0 1 -
foi ir VMIS3S0 0.5 01849221-v:0.00103558/01835496-v:0.000633773/02072849-v:0.000317615/02051694-v:0.000285189/01995549-v:0.000283867/01904930-v:0.000280017/01955984-v:0.00027796/02009433-v:0.00026591/01957529-v:0.000243826/01935233-v:0.00023546/02102398-v:0.000228141/02685951-v:0.000223503/00341560-v:0.000222369/02058994-v:0.000212675/01882814-v:0.000208126/02102002-v:0.000206215/01846916-v:0.00020604/01841079-v:0.000195413/02686471-v:0.000187705/01839538-v:0.000183653/00343898-v:0.000182092
reduzido reduzir VMP00SM 0.992518 00441445-v:0.000746932/00429060-v:0.000430819/00241038-v:0.000391381/00881735-a:0.000378364/00245289-v:0.000370233/00045817-v:0.000369574/00441881-v:0.00035996/00439958-v:0.000357837/00267855-v:0.000352319/00236999-v:0.000348977/00233089-v:0.000347838/01213090-a:0.000319053
a o DA0FS0 0.675415 -
termo termo NCMS000 0.975904 06286395-n:0.0047507
. . Fp 1 -

A o DA0FS0 0.675415 -
referida referir VMP00SF 0.992518 02676054-v:0.00401938/00730052-v:0.0019598
reclamação reclamação NCFS000 1 07209965-n:0.0046315
veio vir VMIS3S0 0.990196 01849221-v:0.00103558/02053941-v:0.000980883/02005948-v:0.000913168/01849746-v:0.000853095/00341917-v:0.000819865/00360932-v:0.000735287
a a SP 0.313151 -
ser ser VMN0000 0.33093 02604760-v:0.0144392
sumariamente sumariamente RG 1 -
arquivada arquivar VMP00SF 0.692668 01384638-v:0.00420118
por por SP 1 -
não não RN 0.99985 00118531-r:0.00427662
ter ter VMN0000 0.533333 00065639-v:0.0016131/02204692-v:0.00116587/02632167-v:0.00115263/00065370-v:0.00113005
sido ser VMP00SM 1 02604760-v:0.0144392
feita fazer VMP00SF 0.803681 00120316-v:0.00126685/01752884-v:0.000611669/02367363-v:0.00037743/01645601-v:0.000306308/02526085-v:0.000295797/01652139-v:0.000234411/00010435-v:0.00021975/01712704-v:0.000213855/01752495-v:0.000200401/01640207-v:0.000199723/01719921-v:0.000195042/01627355-v:0.000190564/01642924-v:0.000186948/01714208-v:0.000185565/01754737-v:0.000183391/01438902-v:0.000180644/00665476-v:0.000172021/01628197-v:0.000166369/01629000-v:0.000166126/02560767-v:0.000163793/01739814-v:0.000162714/01431987-v:0.000154596/01685313-v:0.000154122/02374764-v:0.000152567/00012267-v:0.000151001/01649024-v:0.000149276/02599636-v:0.000143429
em em SP 1 -
a o DA0FS0 1 -
forma forma NCFS000 0.996448 00027807-n:0.00217615/04931733-n:0.00187644
escrita escrever VMP00SF 0.422003 02284578-a:0.000662314/00993014-v:0.000618696/01698271-v:0.000519803/01007027-v:0.000469364/01691057-v:0.000465855/01699896-v:0.000459042/02286661-a:0.00044701/01744611-v:0.000446448/01705494-v:0.000425435/02213270-a:0.000401842
. . Fp 1 -

Em em SP 1 -
os o DA0MP0 1 -
termos termo NCMP000 0.936047 06286395-n:0.0201537
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Estatuto_da_Advocacia estatuto_da_advocacia NP00O00 1 -
, , Fc 1 -
reclamações reclamação NCFP000 1 07209965-n:0.0185363
por por SP 1 -
descumprimento descumprimento NCMS000 1 -
de de SP 1 -
lei lei NCFS000 1 08441203-n:0.00784438/06532330-n:0.00559942/05872982-n:0.00464673/08456347-n:0.0043652
devem dever VMIP3P0 0.992958 02254155-v:0.00944231/02253956-v:0.00925624
ser ser VMN0000 0.33093 02604760-v:0.0232014
necessariamente necessariamente RG 1 00408375-r:0.0177576
escrita escrever VMP00SF 0.422003 02284578-a:0.00261472/00993014-v:0.00251145/01698271-v:0.0022603/01691057-v:0.00204991/01007027-v:0.00202402/01699896-v:0.00202132/02286661-a:0.00198162/01744611-v:0.00194741/01705494-v:0.00185996/02213270-a:0.00177933
. . Fp 1 -

Em em SP 1 -
os o DA0MP0 1 -
termos termo NCMP000 0.936047 06286395-n:0.018215
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Estatuto_da_Advocacia estatuto_da_advocacia NP00O00 1 -
, , Fc 1 -
reclamações reclamação NCFP000 1 07209965-n:0.0166829
por por SP 1 -
descumprimento descumprimento NCMS000 1 -
de de SP 1 -
lei lei NCFS000 1 08441203-n:0.00600087/06532330-n:0.00502539/05872982-n:0.00424183/08456347-n:0.00392372
devem dever VMIP3P0 0.992958 02254155-v:0.00849571/02253956-v:0.00833029
ser ser VMN0000 0.33093 02604760-v:0.0208827
formuladas formular VMP00PF 0.992518 01632411-v:0.0058334/00980453-v:0.00559803/00925873-v:0.00559102
por por SP 1 -
a o DA0FS0 1 -
OAB oab NP00O00 1 -
, , Fc 1 -
exclusivamente exclusivo RG 1 -
. . Fp 1 -

Em em SP 1 -
os o DA0MP0 1 -
termos termo NCMP000 0.936047 06286395-n:0.0242421
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Estatuto_da_Advocacia estatuto_da_advocacia NP00O00 1 -
, , Fc 1 -
reclamações reclamação NCFP000 1 07209965-n:0.0208516
por por SP 1 -
descumprimento descumprimento NCMS000 1 -
de de SP 1 -
lei lei NCFS000 1 08441203-n:0.00720702/06532330-n:0.00626462/05872982-n:0.0052216/08456347-n:0.00490588
podem poder VMIP3P0 0.993174 -
ser ser VMN0000 0.33093 02604760-v:0.0242583
verbais verbal AQ0CP00 1 02823724-a:0.00758922/02284324-a:0.00662551/00500310-a:0.00644349
. . Fp 1 -

Em em SP 1 -
os o DA0MP0 1 -
termos termo NCMP000 0.936047 06286395-n:0.0198077
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Estatuto_da_Advocacia estatuto_da_advocacia NP00O00 1 -
, , Fc 1 -
reclamações reclamação NCFP000 1 07209965-n:0.0185344
por por SP 1 -
descumprimento descumprimento NCMS000 1 -
de de SP 1 -
lei lei NCFS000 1 08441203-n:0.00646234/06532330-n:0.00556969/05872982-n:0.00464379/08456347-n:0.00435895
são ser VMIP3P0 0.998554 02604760-v:0.0215663
de de SP 1 -
atribuição atribuição NCFS000 1 13289467-n:0.00984583/13285176-n:0.00897668/13289744-n:0.00772898
privativa privativo AQ0FS00 1 -
de de SP 1 -
Conselheiro_da_OAB conselheiro_da_oab NP00SP0 1 -
. . Fp 1 -

São ser VMIP3P0 0.997832 02604760-v:0.0136622
direitos direito NCMP000 0.991803 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
advogado advogado NCMS000 0.975904 10249950-n:0.00340718/09774783-n:0.00267097/09775663-n:0.00247488/10623175-n:0.00246396/09840963-n:0.00244095
: : Fd 1 -
reclamar reclamar VMN0000 0.529581 00907147-v:0.00758408/00910973-v:0.00435436/00910891-v:0.00395645
, , Fc 1 -
verbalmente verbal RG 1 -
ou ou CC 1 -
por por SP 1 -
escrito escrever VMP00SM 0.72093 02284578-a:0.00174993/00993014-v:0.00161223/01698271-v:0.0014526/01691057-v:0.00131683/01007027-v:0.00130074/02286661-a:0.0012719/01699896-v:0.00126712/01744611-v:0.00125573/01705494-v:0.00119758/02213270-a:0.00114452
, , Fc 1 -
perante perante SP 1 -
qualquer qualquer DI0CS0 0.881232 -
juízo juízo NCMS000 1 05837957-n:0.0126299
, , Fc 1 -
tribunal tribunal NCMS000 1 08329453-n:0.00771413/03649459-n:0.00636478
ou ou CC 1 -
autoridade autoridade NCFS000 1 09824609-n:0.0127328
, , Fc 1 -
contra contra SP 0.996248 -
a o DA0FS0 0.675415 -
inobservância inobservância NCFS000 1 -
de de SP 1 -
preceito preceito NCMS000 1 06655388-n:0.00616732/06185955-n:0.00593669
de de SP 1 -
lei lei NCFS000 1 08441203-n:0.00666972/06532330-n:0.00399325/05872982-n:0.00302019/08456347-n:0.00281667
, , Fc 1 -
regulamento regulamento NCMS000 0.97619 06537951-n:0.0110189
ou ou CC 1 -
regimento regimento NCMS000 0.914011 08213817-n:0.0129396
. . Fp 1 -

